"Crop","Best Season to Cultivate","Harvesting Time","Duration (Months)","Investment per Acre (INR)","Average Selling Price (INR per Acre)","Suitable Soil Type","Water Requirement (liters per acre per day)","Nitrogen Range (kg/acre)","Phosphorus Range (kg/acre)","Potassium Range (kg/acre)","Humidity Level Range (%)","Temperature Range (°C)","pH Range"
"Garlic","October-December","July-August",6,20000,35000,"Well-drained, Sandy Loam",1300,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Pumpkin","February-May","March-May",4,25000,30000,"Sandy Loam, Loamy",1800,"60-80","20-30","40-60","50-70","20-30","6.0-7.5"
"Bottle Gourd","June-September","September-November",4,20000,25000,"Sandy Loam, Red Soil",1500,"70-90","20-30","40-60","50-70","20-30","5.5-6.5"
"Ridge Gourd","July-September","October-December",4,20000,22000,"Sandy Loam, Loamy",1500,"70-90","20-30","40-60","50-70","20-30","6.0-7.0"
"Bitter Gourd","August-October","October-December",4,15000,20000,"Sandy Loam, Red Soil",1400,"60-80","20-30","40-60","50-70","20-30","6.0-7.5"
"Spinach","October-February","November-January",3,12000,15000,"Loamy, Red Soil",800,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Rice","June-July","November-April",5,15000,40000,"Clay Loam, Loamy",2500,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Maize","October-November","January-March",5,15000,35000,"Clay Loam, Red Soil",1800,"60-80","20-30","50-70","50-70","20-30","6.0-7.5"
"Sweet Potato","July-September","October-December",6,20000,22000,"Loamy, Red Soil",1600,"60-80","20-30","50-70","50-70","20-30","6.0-7.5"
"Green Gram","June-July","September-November",4,20000,25000,"Loamy, Sandy Loam",1200,"80-100","20-30","40-60","50-70","20-30","5.5-6.5"
"Bengal Gram","October-December","January-March",4,25000,30000,"Sandy Loam, Loamy",1000,"80-100","20-30","40-60","50-70","20-30","6.0-7.0"
"Red Gram","October-November","April-May",6,25000,28000,"Loamy, Red Soil",1500,"70-90","20-30","50-70","50-70","20-30","6.0-7.0"
"Cotton","June-August","October-April",10,50000,120000,"Loamy, Black Soil",3000,"60-80","20-30","50-70","50-70","20-30","6.0-7.5"
"Coconut","March-April","12-14 months",14,40000,100000,"Loamy, Sandy",2500,"70-90","20-30","40-60","50-70","20-30","6.0-7.5"
"Ragi","June-September","4-6 months",6,30000,50000,"Loamy, Red Soil",2000,"70-90","20-30","40-60","50-70","20-30","6.0-7.0"
"Wheat","November-December","4-5 months",5,25000,60000,"Loamy, Clay Loam",1500,"60-80","20-30","50-70","50-70","20-30","5.5-6.5"
"Sugarcane","February-March","10-12 months",12,70000,100000,"Sandy Loam, Black Soil",2500,"60-80","20-30","50-70","50-70","20-30","5.5-7.0"
"Coffee","April-July","6-9 months",9,60000,80000,"Loamy, Red Soil",2000,"70-90","20-30","40-60","50-70","20-30","6.0-7.5"
"Jute","May-June","6-8 months",8,50000,70000,"Loamy, Red Soil",1800,"70-90","20-30","40-60","50-70","20-30","6.0-7.5"
"Papaya","February-May","9-11 months",10,45000,120000,"Loamy, Sandy Loam",3000,"60-80","20-30","50-70","50-70","20-30","6.0-7.5"
"Orange","August-September","9-12 months",11,60000,150000,"Loamy, Sandy Loam",2500,"90-120","20-30","50-70","50-70","20-30","5.5-6.5"
"Grapes","January-March","5-6 months",6,55000,120000,"Loamy, Red Soil",2000,"50-70","20-30","40-60","50-70","20-30","6.0-7.0"
"Pomegranate","September-November","7-8 months",8,60000,130000,"Loamy, Sandy Loam",2300,"70-90","20-30","50-70","50-70","20-30","5.5-7.0"
"Groundnut","April-May","4-5 months",5,35000,60000,"Loamy, Red Soil,Black Soil",2000,"40-60","15-25","30-50","50-70","25-35","5.5-6.5"
